,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,Albany,90,US,1566705101,72,42.65,-73.75,66.2,5.37
1,Lata,83,IN,1566705135,95,30.78,78.62,47.12,3.8
2,Saint-Philippe,1,CA,1566705136,93,45.36,-73.48,63.0,5.82
3,Chuy,100,UY,1566705137,82,-33.69,-53.46,53.04,10.87
4,Bethel,40,US,1566705139,48,60.79,-161.76,62.6,4.7
5,Vestmannaeyjar,100,IS,1566705140,86,63.44,-20.27,50.27,6.02
6,Bonfim,0,BR,1566705141,63,-20.33,-44.24,64.4,8.05
7,Vanimo,99,PG,1566705143,72,-2.67,141.3,83.01,8.46
8,Rikitea,64,PF,1566705144,69,-23.12,-134.97,70.25,21.27
9,San Cristobal,8,HN,1566705145,84,14.68,-86.92,68.82,4.54
10,Atuona,0,PF,1566705147,70,-9.8,-139.03,79.43,13.13
11,Mataura,100,NZ,1566705148,96,-46.19,168.86,48.99,1.99
12,Selikhino,90,RU,1566705149,65,50.37,137.51,65.58,5.88
13,Hermanus,1,ZA,1566705151,83,-34.42,19.24,55.99,5.99
14,Geraldton,75,CA,1566705152,76,49.72,-86.95,53.6,6.93
15,Busselton,0,AU,1566705153,37,-33.64,115.35,64.0,8.3
16,Rio Gallegos,40,AR,1566705106,76,-51.62,-69.22,35.6,4.7
17,Punta Arenas,0,CL,1566705156,80,-53.16,-70.91,39.2,6.93
18,Iqaluit,40,CA,1566705157,81,63.75,-68.52,46.4,10.29
19,Tiksi,94,RU,1566705158,88,71.64,128.87,49.02,13.35
20,Myitkyina,0,MM,1566705160,64,25.38,97.4,84.48,3.02
21,Hilo,75,US,1566705157,65,19.71,-155.08,82.4,8.05
22,Mapastepec,9,MX,1566705162,89,15.44,-92.9,77.48,2.08
23,Kautokeino,100,NO,1566705163,80,69.01,23.04,41.91,10.67
24,Cherskiy,97,RU,1566705164,32,68.75,161.3,69.98,4.05
25,Do Gonbadan,0,IR,1566705166,47,30.36,50.8,77.0,3.85
26,Salalah,90,OM,1566705167,94,17.01,54.1,78.8,4.7
27,Ahipara,91,NZ,1566704915,89,-35.17,173.16,60.01,1.01
28,Cidreira,35,BR,1566705155,74,-30.17,-50.22,57.21,12.03
29,Prince Rupert,90,CA,1566705171,93,54.32,-130.32,57.2,4.56
30,Belaya Gora,96,RU,1566705172,74,68.54,146.19,62.65,7.43
31,Skjervoy,100,NO,1566705173,76,70.03,20.97,48.56,12.66
32,Ushuaia,20,AR,1566705174,80,-54.81,-68.31,41.0,3.36
33,Zaporizhzhya,0,UA,1566705160,77,47.82,35.18,72.0,6.71
34,Mnogovershinnyy,100,RU,1566705177,84,53.94,139.92,52.46,2.91
35,Acapulco,75,MX,1566705178,79,16.86,-99.88,84.2,4.7
36,Dunedin,100,NZ,1566704965,67,-45.87,170.5,53.01,8.01
37,Pisco,90,PE,1566705181,82,-13.71,-76.2,60.8,6.93
38,Faanui,0,PF,1566705182,65,-16.48,-151.75,78.42,7.45
39,Fort Morgan,1,US,1566704964,60,40.25,-103.8,69.8,6.93
40,Kawalu,82,ID,1566705184,70,-7.38,108.21,73.61,4.76
41,Nanortalik,94,GL,1566705186,72,60.14,-45.24,42.96,2.21
42,Nizhniy Kuranakh,93,RU,1566705187,68,58.84,125.49,67.11,5.08
43,Vaini,40,IN,1566705188,88,15.34,74.49,73.4,9.17
44,La Ronge,40,CA,1566705189,100,55.1,-105.3,59.0,2.24
45,Camacha,40,PT,1566705191,78,33.08,-16.33,71.6,8.05
46,Ewa Beach,90,US,1566705192,65,21.32,-158.01,87.8,12.75
47,Qaanaaq,100,GL,1566705193,76,77.48,-69.36,35.52,12.73
48,Cap Malheureux,40,MU,1566705194,83,-19.98,57.61,71.6,8.05
49,Sechura,0,PE,1566705196,89,-5.56,-80.82,61.55,9.69
50,Sao Filipe,48,CV,1566705197,85,14.9,-24.5,78.65,13.8
51,Strelka,16,RU,1566705198,75,58.08,93.03,62.43,3.4
52,Barrow,68,AR,1566705200,79,-38.31,-60.23,53.22,14.47
53,Ola,98,RU,1566705201,85,59.58,151.3,54.06,10.2
54,Tessalit,76,ML,1566705202,47,20.2,1.01,87.31,13.96
55,Ilulissat,20,GL,1566705203,42,69.22,-51.1,44.6,17.22
56,Irbeyskoye,100,RU,1566705205,88,55.64,95.45,56.33,10.11
57,Sitka,89,US,1566705206,85,37.17,-99.65,73.99,14.0
58,Labuhan,98,ID,1566705207,39,-2.54,115.51,96.22,1.57
59,Edson,75,CA,1566705209,82,53.59,-116.44,55.4,5.82
60,Nyaunglebin,95,MM,1566705210,89,17.95,96.73,81.17,4.21
61,Honningsvag,0,NO,1566704992,67,70.98,25.97,43.62,12.77
62,Caconda,78,AO,1566705212,34,-13.73,15.06,48.57,2.26
63,North Bend,1,US,1566705214,93,43.41,-124.22,64.99,9.17
64,Tuktoyaktuk,90,CA,1566705031,87,69.44,-133.03,44.6,18.34
65,Pimentel,68,BR,1566705216,92,-3.7,-45.5,72.59,3.09
66,Guspini,0,IT,1566705217,94,39.54,8.63,73.99,3.36
67,Port Hardy,90,CA,1566705218,93,50.7,-127.42,57.2,6.93
68,Damaturu,68,NG,1566705220,85,11.75,11.96,70.34,7.0
69,Vardo,90,US,1566705221,82,39.62,-77.74,64.99,3.56
70,Tautira,75,PF,1566705222,65,-17.73,-149.15,80.6,8.05
71,Barabai,100,ID,1566705224,43,-2.59,115.38,93.39,5.7
72,Lyubim,93,RU,1566705225,91,58.36,40.69,52.16,10.33
73,Jamestown,90,AU,1566705223,58,-33.21,138.6,49.51,7.43
74,ChengDe,0,CN,1566705227,39,40.97,117.93,80.15,10.25
75,Kapaa,90,US,1566705229,70,22.08,-159.32,87.8,13.87
76,New Norfolk,75,AU,1566705230,53,-42.78,147.06,52.0,10.29
77,Mar del Plata,43,AR,1566705081,69,-46.43,-67.52,45.37,17.72
78,Devonport,100,AU,1566705232,43,-41.18,146.36,55.99,8.99
79,Narsaq,0,GL,1566705234,27,60.91,-46.05,53.6,16.11
80,Broken Hill,5,AU,1566705235,33,-31.97,141.45,57.2,16.11
81,Severo-Kurilsk,100,RU,1566705236,90,50.68,156.12,48.79,43.66
82,Guangyuan,6,CN,1566705237,55,32.43,105.86,86.97,2.37
83,Ribeira Grande,5,PT,1566705239,79,38.52,-28.7,69.51,15.35
84,Paamiut,0,GL,1566705240,85,61.99,-49.67,41.88,20.62
85,Khani,75,GE,1566705241,100,41.96,42.96,71.6,2.24
86,Bredasdorp,0,ZA,1566705243,87,-34.53,20.04,50.0,7.16
87,Vila Franca do Campo,75,PT,1566705244,94,37.72,-25.43,71.01,13.87
88,Puerto Escondido,33,MX,1566705245,83,15.86,-97.07,78.24,2.35
89,Lebu,6,ET,1566705246,84,8.96,38.73,51.04,2.89
90,Ponta do Sol,0,BR,1566705032,65,-20.63,-46.0,58.28,5.73
91,Hobart,75,AU,1566705249,53,-42.88,147.33,52.0,10.29
92,Butaritari,81,KI,1566705157,68,3.07,172.79,84.92,6.91
93,Puerto del Rosario,51,ES,1566705086,78,28.5,-13.86,77.0,13.87
94,Finnsnes,100,NO,1566705253,93,69.23,17.98,51.01,13.87
95,Port Elizabeth,1,US,1566705254,87,39.31,-74.98,71.01,3.4
96,Tasiilaq,100,GL,1566705255,93,65.61,-37.64,41.0,10.29
97,Port Alfred,0,ZA,1566705256,50,-33.59,26.89,62.01,7.05
98,Neuquen,0,AR,1566705139,66,-38.95,-68.06,53.6,3.36
99,Saint George,0,GR,1566705259,60,39.45,22.34,71.6,5.82
100,Baykit,58,RU,1566705260,48,61.68,96.39,63.14,6.53
101,Avarua,88,CK,1566704966,78,-21.21,-159.78,77.0,10.29
102,Oxford,75,US,1566705263,100,33.61,-85.83,77.0,3.31
103,Beyla,100,GN,1566705264,98,8.69,-8.65,67.04,3.42
104,Carnarvon,0,ZA,1566705265,28,-30.97,22.13,52.37,7.56
105,Khatanga,20,RU,1566705267,70,71.98,102.47,59.45,7.45
106,Amposta,0,ES,1566705268,78,40.71,0.58,71.6,4.7
107,Mahebourg,40,MU,1566705269,83,-20.41,57.7,71.6,8.05
108,Margate,75,AU,1566705271,53,-43.03,147.26,52.0,10.29
109,Cairns,90,AU,1566705065,64,-16.92,145.77,77.0,10.29
110,Kodiak,90,US,1566705273,77,39.95,-94.76,70.0,10.29
111,Okato,28,NZ,1566705274,72,-39.19,173.88,59.0,5.99
112,Alice Springs,0,AU,1566705125,37,-23.7,133.88,66.2,9.17
113,Otane,0,NZ,1566705277,73,-39.89,176.62,55.99,11.99
114,San Patricio,0,PY,1566705278,74,-26.98,-56.83,57.21,5.68
115,Baghdad,0,IQ,1566705279,33,33.3,44.38,89.6,2.24
116,Hovd,0,NO,1566705281,82,63.83,10.7,60.8,12.75
117,Chulman,41,RU,1566705282,46,56.84,124.9,73.09,6.04
118,Maryborough,0,AU,1566705283,30,-25.54,152.7,79.28,1.74
119,Hithadhoo,100,MV,1566705284,72,-0.6,73.08,82.49,11.27
120,Bassano,100,CA,1566705286,74,50.79,-112.47,59.0,1.99
121,Warmbad,0,DE,1566705287,93,50.67,13.08,64.99,2.24
122,Trairi,27,BR,1566705288,88,-3.28,-39.27,72.6,6.51
123,Puerto Ayora,89,EC,1566705177,92,-0.74,-90.35,71.01,5.01
124,Miri,100,NG,1566705291,92,10.31,9.75,68.72,2.13
125,Tilichiki,95,RU,1566705292,74,60.47,166.1,58.64,6.71
126,Kozhva,100,RU,1566705099,76,65.11,57.05,46.68,6.93
127,Puerto Barrios,0,GT,1566705294,94,15.72,-88.58,80.6,2.91
128,Bambous Virieux,40,MU,1566705296,83,-20.34,57.76,71.6,8.05
129,Fukue,75,JP,1566705297,58,35.03,136.69,84.2,2.24
130,Banswara,95,IN,1566705298,80,23.55,74.45,78.02,7.09
131,Estancia,1,US,1566705300,30,34.76,-106.06,86.0,5.61
132,Carndonagh,67,IE,1566705301,87,55.25,-7.27,60.47,0.94
133,Victoria,75,BN,1566705302,70,5.28,115.24,89.6,3.36
134,Zaraza,2,VE,1566705303,96,9.35,-65.33,73.14,3.76
135,Thompson,90,CA,1566705305,93,55.74,-97.86,66.2,3.36
136,Nowogard,0,PL,1566705306,67,53.67,15.12,64.0,5.82
137,Sorland,100,NO,1566705307,95,67.67,12.69,53.72,25.19
138,Avera,90,US,1566705231,88,33.19,-82.53,73.4,6.93
139,Yellowknife,20,CA,1566705310,62,62.45,-114.38,59.0,8.05
140,Xichang,4,CN,1566705311,60,27.88,102.25,72.48,3.58
141,Clyde River,98,CA,1566705091,65,70.47,-68.59,45.42,3.67
142,Riyadh,0,SA,1566705314,20,24.63,46.72,82.4,5.82
143,Sabang,100,PH,1566705315,82,13.8,121.11,86.0,4.0
144,Dikson,100,RU,1566705316,96,73.51,80.55,40.73,12.88
145,Ostrovnoy,83,RU,1566705317,94,68.05,39.51,42.09,1.83
146,Eloy,1,US,1566705319,36,32.76,-111.56,96.8,5.82
147,Rameswaram,100,IN,1566705320,68,9.28,79.3,83.01,14.61
148,Chivay,0,PE,1566705321,45,-15.64,-71.6,37.67,1.34
149,Kakhi,20,AZ,1566705323,49,41.42,46.93,69.8,9.17
150,East London,0,ZA,1566705324,34,-33.02,27.91,64.4,6.93
151,Mwingi,100,KE,1566705325,69,-0.93,38.07,64.27,6.06
152,Vila Velha,75,BR,1566705326,74,-3.71,-38.6,80.6,17.22
153,Kavieng,83,PG,1566705328,77,-2.57,150.8,82.58,12.77
154,Usinsk,86,RU,1566705329,78,66.0,57.56,45.28,8.77
155,Hamilton,5,CA,1566705123,77,43.26,-79.87,63.0,4.7
156,Kamaishi,75,JP,1566705332,65,39.28,141.86,78.8,8.05
157,Upernavik,100,GL,1566705333,68,72.79,-56.15,43.03,9.98
158,Tuatapere,100,NZ,1566705334,96,-46.13,167.69,48.99,1.99
159,Mpika,0,ZM,1566705336,64,-11.84,31.4,58.46,9.06
160,Samana,79,EC,1566705337,82,0.12,-76.97,69.72,2.75
161,Castlegar,22,CA,1566705338,70,49.32,-117.66,60.01,5.99
162,Faya,5,SA,1566705339,77,18.39,42.45,66.2,1.16
163,Grand-Santi,50,GF,1566705341,97,4.27,-54.38,71.02,1.41
164,Kodino,31,RU,1566705342,95,63.72,39.64,43.8,7.81
165,Sao Felix do Xingu,55,BR,1566705343,63,-6.64,-51.99,73.68,1.36
166,Moron,47,HT,1566705344,77,18.56,-74.26,81.28,3.15
167,Tamandare,0,BR,1566705346,69,-8.28,-70.75,74.66,2.73
168,Port-Cartier,5,CA,1566705347,93,50.03,-66.88,51.01,5.82
169,Mayo,75,CA,1566705158,38,63.59,-135.9,60.8,3.36
170,Luderitz,0,NA,1566705349,19,-26.65,15.16,69.8,10.29
171,Arraial do Cabo,86,BR,1566705351,81,-22.97,-42.02,66.9,4.76
172,Katsuura,75,JP,1566705352,48,33.93,134.5,86.0,9.17
173,Mataram,48,ID,1566705353,61,-5.32,105.06,81.35,5.06
174,Koslan,100,RU,1566705355,97,63.46,48.9,49.1,9.13
175,Alofi,38,NU,1566705356,83,-19.06,-169.92,80.6,4.7
176,Yichang,0,CN,1566705358,55,30.77,111.32,83.66,4.05
177,Zhigansk,5,RU,1566705359,45,66.77,123.37,65.69,6.4
178,Kajaani,90,FI,1566705360,100,64.22,27.73,48.2,2.24
179,Sambava,41,MG,1566705361,75,-14.27,50.17,66.41,2.66
180,Dudinka,75,RU,1566705363,87,69.41,86.18,57.2,6.71
181,Pong,100,CM,1566705364,97,4.23,10.63,68.86,1.68
182,Umba,74,RU,1566705365,94,66.69,34.34,45.75,0.83
183,Saran,0,KZ,1566705367,49,49.8,72.84,69.8,2.24
184,Umm Lajj,0,SA,1566705368,77,25.02,37.27,86.25,10.71
185,North Platte,75,US,1566705369,88,41.12,-100.77,66.2,9.17
186,Sisimiut,35,GL,1566705371,71,66.94,-53.67,42.87,18.28
187,Bluff,4,AU,1566705372,40,-23.58,149.07,72.46,2.98
188,Taoudenni,70,ML,1566705373,40,22.68,-3.98,89.96,6.31
189,Oranjestad,20,AW,1566705215,79,12.52,-70.03,84.2,24.16
190,Castro,90,CL,1566705376,100,-42.48,-73.76,42.8,5.82
191,Nanpara,96,IN,1566705377,78,27.87,81.5,82.23,4.92
192,Niksar,7,TR,1566705378,97,40.59,36.95,56.89,5.12
193,Lagoa,0,PT,1566705380,83,37.14,-8.45,73.0,6.93
194,Bilsanda,98,IN,1566705381,73,28.25,79.95,82.99,4.56
195,Dafeng,68,CN,1566705382,77,33.2,120.46,80.29,12.46
196,Klaksvik,34,FO,1566705384,93,62.23,-6.59,51.8,14.99
197,Veinticinco de Mayo,0,AR,1566705385,94,-27.38,-54.75,54.15,2.42
198,Esperance,40,AU,1566705386,62,-33.86,121.89,53.6,9.17
199,Siniscola,0,IT,1566705388,94,40.57,9.69,69.8,1.12
200,Tabuk,100,PH,1566705389,62,17.41,121.44,79.82,4.12
201,Tezu,0,IN,1566705390,53,27.93,96.16,87.35,2.17
202,Georgetown,0,GY,1566705391,100,6.8,-58.16,73.4,4.7
203,Muswellbrook,0,AU,1566705393,19,-32.27,150.89,71.29,9.53
204,Deputatskiy,41,RU,1566705394,64,69.3,139.9,58.62,9.35
205,Lazaro Cardenas,40,MX,1566705395,61,28.39,-105.62,77.0,5.17
206,Kropotkin,75,RU,1566705396,39,45.43,40.58,82.0,8.43
207,Souillac,90,FR,1566705398,88,45.6,-0.6,68.0,4.7
208,Tarnobrzeg,0,PL,1566705275,82,50.57,21.68,63.0,6.93
209,Ponta Delgada,75,PT,1566705400,94,37.73,-25.67,71.01,13.87
210,Barreirinhas,43,BR,1566705402,77,-2.75,-42.83,76.85,7.65
211,Nikolskoye,29,RU,1566705157,93,59.7,30.79,54.0,4.47
212,Salinopolis,0,BR,1566705404,81,-0.61,-47.36,80.74,18.01
213,Enshi,36,CN,1566705405,77,30.29,109.48,77.64,1.9
214,Herat,0,AF,1566705407,19,34.35,62.22,75.2,2.24
215,Aksarayskiy,40,RU,1566705408,34,46.79,48.01,82.4,6.71
216,Namtsy,0,RU,1566705409,64,62.72,129.66,68.0,4.47
217,Bilibino,99,RU,1566705411,45,68.06,166.44,62.97,6.87
218,Omsukchan,80,RU,1566705412,54,62.53,155.8,59.81,11.5
219,Chokurdakh,100,RU,1566705414,85,70.62,147.9,56.82,4.34
220,Airai,0,TL,1566705415,47,-8.93,125.41,82.29,6.2
221,Caldwell,1,US,1566705416,34,43.67,-116.69,84.2,14.65
222,Visnes,100,NO,1566705417,87,59.36,5.22,64.0,10.29
223,Krasnoye,0,RU,1566705419,73,44.87,39.46,73.0,6.71
224,Yamada,40,JP,1566705420,51,36.58,137.08,86.0,10.29
225,Sibolga,100,ID,1566705421,71,1.74,98.78,79.8,6.44
226,Panaba,100,MX,1566705157,84,21.28,-88.27,80.2,8.97
227,Darnah,0,LY,1566705424,83,32.77,22.64,78.49,20.56
228,Caravelas,66,BR,1566705425,83,-17.73,-39.27,70.41,8.08
229,San Miguel,0,AR,1566705427,62,-34.54,-58.72,57.2,6.93
230,Haines Junction,100,CA,1566705428,81,60.75,-137.51,44.36,3.18
231,LaBelle,1,US,1566705430,94,26.76,-81.44,84.0,6.46
232,Vao,54,EE,1566705431,93,59.1,26.19,52.32,4.23
233,Bungu,22,TZ,1566705432,97,-7.63,39.06,66.03,3.31
234,Quelimane,40,MZ,1566705433,93,-17.88,36.89,66.2,3.36
235,Uvira,64,CD,1566705435,77,-3.41,29.14,51.67,0.18
236,Hatillo,1,PR,1566705427,88,18.49,-66.83,82.0,4.7
237,Dingle,100,PH,1566705437,70,11.0,122.67,85.87,6.87
238,Sola,99,TZ,1566705438,57,-3.17,33.8,68.28,8.84
239,Hofn,83,IS,1566705440,73,64.25,-15.21,38.03,7.61
240,Beyneu,86,KZ,1566705441,28,45.32,55.19,76.49,3.51
241,Buchanan,100,LR,1566705442,87,5.88,-10.05,76.71,12.95
242,Barao de Melgaco,0,BR,1566705443,42,-16.19,-55.97,84.2,1.12
243,Pacific Grove,75,US,1566705445,87,36.62,-121.92,73.99,3.36
244,Oyama,20,JP,1566705446,51,36.31,139.8,95.0,5.82
245,Oistins,75,BB,1566705447,78,13.07,-59.53,82.4,16.11
246,Saint-Joseph,0,FR,1566705449,82,43.56,6.97,75.2,4.7
247,Zdvinsk,48,RU,1566705450,67,54.7,78.67,61.1,10.67
248,Saint Anthony,1,US,1566705451,29,43.97,-111.68,75.99,16.11
249,Cabo San Lucas,5,MX,1566705430,83,22.89,-109.91,82.99,3.36
250,Lompoc,1,US,1566705239,88,34.64,-120.46,68.0,6.93
251,College,1,US,1566705455,26,64.86,-147.8,62.6,4.7
252,Boysun,0,UZ,1566705456,25,38.2,67.2,66.3,1.41
253,Tahoua,20,NE,1566705457,88,14.89,5.26,73.4,6.93
254,Ukiah,1,US,1566705459,32,39.15,-123.21,82.4,5.82
255,Laguna,0,BZ,1566705460,94,16.17,-88.94,80.6,2.91
256,Goure,100,NE,1566705462,78,13.98,10.27,74.91,10.94
257,Smithers,75,CA,1566705280,76,54.78,-127.17,57.2,4.79
258,Quatre Cocos,40,MU,1566705464,83,-20.21,57.76,71.6,8.05
259,De Haan,100,BE,1566705465,82,51.28,3.03,66.2,1.12
260,Biak,97,ID,1566705467,83,-0.91,122.88,69.45,5.64
261,Jiancheng,75,CN,1566705468,66,30.39,104.55,93.0,4.47
262,Ahuimanu,90,US,1566705469,65,21.44,-157.84,87.8,12.75
263,Yulara,0,AU,1566705254,37,-25.24,130.99,69.8,11.41
264,Yuanping,0,CN,1566705472,62,38.72,112.71,67.89,5.35
265,Dalvik,0,SE,1566705473,100,57.79,14.13,42.8,3.56
266,Provideniya,67,RU,1566705474,56,64.42,-173.23,55.14,5.61
267,Setermoen,100,NO,1566705476,93,68.86,18.35,45.0,13.87
268,Lixourion,0,GR,1566705477,60,38.2,20.43,77.0,4.7
269,Las Varas,75,MX,1566705478,84,21.18,-105.14,86.0,9.33
270,Joinville,0,BR,1566705480,93,-26.3,-48.85,55.0,6.93
271,Deer Lake,5,CA,1566705481,93,49.18,-57.43,39.2,2.66
272,Asyut,0,EG,1566705482,46,27.18,31.19,77.12,8.34
273,Antofagasta,90,CL,1566705483,82,-23.65,-70.4,55.4,3.36
274,Vila do Maio,75,CV,1566705485,78,15.13,-23.22,80.6,5.82
275,Bella Union,100,CO,1566705486,82,8.5,-73.35,70.75,4.81
276,Aripuana,93,BR,1566705487,65,-9.17,-60.63,77.16,1.74
277,Nawa,0,IN,1566705489,64,27.02,75.0,83.24,12.71
278,Altay,0,CN,1566705490,39,47.83,88.13,57.97,4.34
279,Kaitangata,100,NZ,1566705491,75,-46.28,169.85,50.0,5.99
280,Norman Wells,40,CA,1566705493,76,65.28,-126.83,48.2,5.82
281,Shahrud,0,IR,1566705494,22,36.42,54.97,54.26,5.55
282,Kyren,51,RU,1566705495,53,51.68,102.13,47.75,6.38
283,Kerrville,75,US,1566705497,94,30.05,-99.14,79.0,3.58
