,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
284,Talnakh,75,RU,1566705498,87,69.49,88.39,57.2,6.71
285,Walvis Bay,0,NA,1566705499,17,-22.95,14.51,109.4,2.24
286,Karratha,10,AU,1566705501,15,-20.74,116.85,84.75,1.77
287,Anadyr,20,RU,1566705502,59,64.73,177.51,64.4,6.71
288,Levokumskoye,100,RU,1566705503,69,44.82,44.66,73.65,6.04
289,Husavik,100,CA,1566705504,49,50.56,-96.99,73.99,11.01
290,Henties Bay,0,NA,1566705367,66,-22.12,14.28,64.0,1.01
291,Rimbey,75,CA,1566705507,93,52.64,-114.24,51.8,4.7
292,San Antonio,81,CL,1566705223,100,-33.58,-71.61,48.2,3.36
293,Fortuna,1,US,1566705509,93,40.6,-124.16,60.01,6.93
294,Hasaki,20,JP,1566705511,62,35.73,140.83,90.0,4.7
295,Black River,20,JM,1566705512,83,18.03,-77.85,80.6,8.05
296,Ampanihy,0,MG,1566705513,94,-24.69,44.75,60.15,8.52
297,Kalyazin,0,RU,1566705514,96,57.24,37.84,48.83,9.48
298,Skibbereen,75,IE,1566705516,87,51.55,-9.27,57.2,16.11
299,Ancud,90,CL,1566705517,100,-41.87,-73.83,42.8,5.82
300,Teguldet,80,RU,1566705518,94,57.31,88.17,59.09,8.16
301,Te Anau,100,NZ,1566705520,87,-45.41,167.72,42.47,6.58
302,Bama,96,CN,1566705521,59,24.14,107.25,88.35,4.09
303,Santa Rosa,14,AR,1566705522,72,-36.62,-64.29,53.99,10.76
304,Hayrabolu,0,TR,1566705523,88,41.21,27.11,72.0,13.87
305,Flinders,90,AU,1566705525,58,-34.58,150.85,66.0,14.99
306,Victoria,75,BN,1566705302,70,5.28,115.24,89.6,3.36
307,Virovitica,100,HR,1566705527,88,45.83,17.39,66.99,4.83
308,Havoysund,0,NO,1566705528,75,71.0,24.66,42.8,13.87
309,Leh,0,IN,1566705530,46,34.16,77.58,47.21,0.89
310,Colares,0,PT,1566705531,88,38.8,-9.45,66.0,8.05
311,Hokitika,51,NZ,1566705532,75,-42.72,170.96,53.49,6.44
312,Cockburn Town,12,TC,1566705534,82,21.46,-71.14,83.55,19.71
313,Puqi,42,CN,1566705535,57,29.72,113.88,90.48,10.51
314,Sundargarh,90,IN,1566705536,94,22.12,84.04,78.8,2.8
315,Mount Gambier,75,AU,1566705274,66,-37.83,140.78,51.8,12.75
316,Torbay,40,CA,1566705539,75,47.66,-52.73,50.0,8.05
317,Nantucket,1,US,1566705540,82,41.28,-70.1,68.0,11.41
318,Chernyshevsk,0,RU,1566705541,58,52.51,117.01,70.43,5.46
319,Richards Bay,0,ZA,1566705543,52,-28.77,32.06,69.13,19.95
320,Cayenne,0,GF,1566705544,94,4.94,-52.33,75.2,2.28
321,Nemuro,40,JP,1566705545,60,43.32,145.57,71.6,11.41
322,Longyearbyen,75,NO,1566705546,90,78.22,15.63,37.4,8.05
323,Constitucion,90,MX,1566705548,77,23.99,-104.67,64.4,13.87
324,Saint-Georges,0,CA,1566705549,91,46.12,-70.67,50.0,2.39
325,Caracollo,81,PE,1566705550,68,-14.92,-70.66,37.63,0.83
326,Peru,1,US,1566705550,77,41.33,-89.13,64.0,6.93
327,Grinnell,1,US,1566705553,82,41.74,-92.72,64.99,4.7
328,Komsomolskiy,24,RU,1566705554,83,67.55,63.78,40.17,7.36
329,Tvoroyri,33,FO,1566705555,93,61.56,-6.81,51.8,14.99
330,Zemlyansk,0,RU,1566705557,67,51.9,38.73,57.2,6.71
331,Russell,75,US,1566705558,83,38.9,-98.86,73.99,17.22
332,Cape Town,20,ZA,1566705559,93,-33.93,18.42,57.99,9.17
333,Cornwall,20,CA,1566705397,93,45.02,-74.73,59.0,4.14
334,Saldanha,75,PT,1566705562,46,41.42,-6.55,67.1,2.28
335,Glotovka,27,RU,1566705563,83,53.95,46.7,53.38,4.81
336,Jiuquan,56,CN,1566705565,25,39.73,98.49,74.1,2.08
337,Birin,40,NP,1566705566,74,26.89,88.07,84.2,4.7
338,Macaiba,40,BR,1566705567,94,-5.86,-35.35,73.4,4.7
339,Puerto Leguizamo,31,CO,1566705568,87,-0.19,-74.78,71.78,1.95
340,Massaguet,78,TD,1566705570,79,12.48,15.44,74.24,8.08
341,Isangel,75,VU,1566705571,53,-19.55,169.27,75.2,8.05
342,Brus Laguna,0,HN,1566705572,80,15.75,-84.48,83.57,15.08
343,Kokkola,0,FI,1566705574,93,63.84,23.13,53.01,5.82
344,Ulladulla,90,AU,1566705575,58,-35.36,150.48,59.0,14.99
345,Ternate,90,PH,1566705576,88,14.29,120.72,82.0,12.75
346,Hambantota,90,LK,1566705284,94,6.12,81.12,82.4,10.29
347,Bongandanga,100,CD,1566705579,99,1.51,21.07,68.9,4.23
348,Nicoya,0,CR,1566705580,65,10.15,-85.45,82.4,4.7
349,Pevek,26,RU,1566705581,73,69.7,170.27,44.79,8.03
350,Leningradskiy,76,RU,1566705583,87,69.38,178.42,42.51,8.25
351,Kruisfontein,0,ZA,1566705584,63,-34.0,24.73,52.12,5.73
352,Mount Isa,0,AU,1566705585,12,-20.73,139.49,82.4,9.17
353,Nishihara,20,JP,1566705587,62,35.74,139.53,90.0,5.82
354,Elko,1,US,1566705393,27,40.83,-115.76,80.01,5.82
355,Maragogi,33,BR,1566705589,96,-9.01,-35.22,68.9,2.3
356,Ilo,90,PE,1566705590,85,-17.65,-71.34,57.0,8.19
357,Seoul,1,KR,1566705389,54,37.57,126.98,82.4,3.36
358,Atar,19,MR,1566705593,45,20.52,-13.05,82.23,10.89
359,Kasempa,57,ZM,1566705594,63,-13.46,25.83,49.62,6.46
360,Inta,80,RU,1566705595,79,66.04,60.13,42.87,7.27
361,Valparaiso,1,US,1566705464,63,41.47,-87.06,68.0,3.36
362,Huacho,100,PE,1566705588,91,-11.11,-77.61,58.22,11.3
363,Joshimath,89,IN,1566705599,83,30.57,79.57,59.66,2.21
364,Borogontsy,1,RU,1566705600,52,62.67,131.17,68.68,4.43
365,Pishin,0,PK,1566705605,18,30.58,67.0,77.27,1.32
366,Challapata,40,BO,1566705607,45,-18.9,-66.78,48.47,4.88
367,Kuandian,9,CN,1566705614,57,40.73,124.78,76.08,1.41
368,Vagur,33,FO,1566705616,90,61.47,-6.81,50.64,17.63
369,Lima,90,PE,1566705618,87,-12.06,-77.04,59.0,5.82
370,Weihai,0,CN,1566705619,52,37.5,122.11,84.99,1.99
371,Khiv,67,RU,1566705620,60,41.75,47.93,54.82,4.79
372,Havre-Saint-Pierre,20,CA,1566705621,87,50.23,-63.6,50.0,5.82
373,Dhidhdhoo,100,MV,1566705623,81,6.88,73.1,81.01,15.95
374,Palmer,75,AU,1566705624,62,-34.85,139.16,57.99,12.75
375,Qingquan,100,CN,1566705625,73,34.7,106.0,68.88,5.66
376,Chisec,1,GT,1566705626,81,15.81,-90.29,77.57,3.8
377,Tucuman,0,PE,1566705628,35,-17.17,-70.89,51.24,4.25
378,Ishigaki,75,JP,1566705629,94,24.34,124.16,84.2,17.22
379,Saskylakh,99,RU,1566705630,79,71.97,114.09,55.18,4.97
380,Mirnyy,23,RU,1566705632,96,56.57,36.46,49.28,6.02
381,Taltal,100,CL,1566705633,87,-25.41,-70.49,51.26,3.76
382,Morlanwelz,0,BE,1566705634,82,50.45,4.25,63.0,1.12
383,Westport,40,US,1566705636,87,41.14,-73.36,69.01,2.57
384,Nizhnyaya Omka,0,RU,1566705637,68,55.43,74.94,60.09,8.5
385,Skegness,81,GB,1566705638,100,53.14,0.34,59.0,4.94
386,Byron Bay,0,AU,1566705640,53,-28.65,153.62,80.6,19.46
387,Minab,0,IR,1566705641,66,27.15,57.07,91.4,4.7
388,Askiz,89,RU,1566705642,71,53.13,90.53,58.24,11.05
389,Araouane,4,ML,1566705643,46,18.9,-3.53,90.14,13.98
390,Mujiayingzi,0,CN,1566705645,45,42.12,118.78,76.51,11.74
391,Camabatela,2,AO,1566705646,97,-8.19,15.37,59.41,1.7
392,Pedernales,100,EC,1566705647,90,0.07,-80.05,71.6,12.33
393,Tutoia,97,BR,1566705649,77,-2.76,-42.27,76.38,4.65
394,Mahibadhoo,100,MV,1566705650,72,3.78,72.97,81.98,10.02
395,Zhezkazgan,50,KZ,1566705651,30,47.8,67.71,71.6,2.24
396,Vila,0,IT,1566705496,94,45.18,8.4,72.0,4.7
397,Port Keats,81,AU,1566705654,45,-14.25,129.55,84.92,5.26
398,Gat,20,SN,1566705655,83,14.69,-16.54,80.6,6.93
399,Aykhal,0,RU,1566705656,48,65.95,111.51,62.6,4.47
400,Helong,85,CN,1566705658,65,25.94,116.13,85.4,19.37
401,Mana,100,NG,1566705659,85,13.03,5.27,74.1,11.07
402,Fare,20,PF,1566705660,66,-16.7,-151.02,78.11,6.13
403,Poso,16,ID,1566705661,49,-1.4,120.75,79.1,4.65
404,Srednekolymsk,100,RU,1566705663,72,67.46,153.71,63.28,6.69
405,Sinnamary,1,GF,1566705600,71,5.38,-52.96,82.38,7.05
406,Coquimbo,0,CL,1566705665,87,-29.95,-71.34,51.8,5.82
407,Sao Gabriel da Cachoeira,99,BR,1566705666,96,-0.13,-67.09,73.36,1.61
408,Karatau,0,KZ,1566705668,29,43.18,70.46,69.54,10.89
409,Clairmont,20,CA,1566705669,62,55.26,-118.79,57.2,14.99
410,Zaigrayevo,20,RU,1566705670,52,51.83,108.27,68.0,8.95
411,Kichmengskiy Gorodok,100,RU,1566705672,96,59.99,45.81,51.83,8.48
412,Bagdarin,9,RU,1566705673,65,54.44,113.59,64.63,5.26
413,Pasinler,20,TR,1566705674,93,39.98,41.67,46.4,0.2
414,Linxia,99,CN,1566705676,89,35.6,103.21,57.81,1.88
415,Popondetta,72,PG,1566705677,61,-8.77,148.24,78.08,5.7
416,Maceio,40,BR,1566705647,94,-9.67,-35.74,71.6,2.24
417,Gniezno,0,PL,1566705679,72,52.54,17.6,64.0,8.05
418,Tual,99,ID,1566705681,81,-5.67,132.75,76.04,15.66
419,Chapais,1,CA,1566705682,87,49.78,-74.86,51.8,0.2
420,Guerrero Negro,4,MX,1566705683,79,27.97,-114.04,74.66,9.62
421,Guayaramerin,36,BO,1566705685,49,-10.82,-65.36,79.95,1.34
422,Tiarei,75,PF,1566705686,65,-17.53,-149.33,80.6,8.05
423,Swan Hill,27,AU,1566705687,45,-35.34,143.56,55.47,10.04
424,Benjamin Constant,75,BR,1566705688,100,-4.38,-70.03,69.8,1.14
425,Necochea,34,AR,1566705690,83,-38.55,-58.74,46.0,11.01
426,Clive,75,US,1566705691,72,41.61,-93.78,68.0,10.29
427,Sandwick,29,GB,1566705693,87,54.57,-2.89,64.0,4.7
428,Balkanabat,0,TM,1566705694,14,39.51,54.36,82.36,1.52
429,Codrington,6,AU,1566705695,30,-28.95,153.24,80.6,3.36
430,Guatire,75,VE,1566705696,83,10.47,-66.54,77.0,3.36
431,Padang,100,ID,1566705698,80,-0.92,100.36,80.07,13.11
432,Peniche,0,PT,1566705699,88,39.36,-9.38,62.6,8.05
433,Manakara,49,MG,1566705700,91,-22.14,48.01,65.51,4.61
434,Lavrentiya,61,RU,1566705701,51,65.58,-170.99,58.89,9.6
435,Tromso,100,NO,1566705485,93,69.65,18.96,43.0,13.87
436,Sur,0,OM,1566705704,43,22.57,59.53,87.54,5.17
437,Lao Cai,5,VN,1566705705,59,22.48,103.95,80.58,0.69
438,Kavaratti,90,IN,1566705696,83,10.57,72.64,80.6,6.93
439,Fairbanks,1,US,1566705630,26,64.84,-147.72,60.8,4.7
440,Yerbogachen,100,RU,1566705709,62,61.28,108.01,63.6,5.73
441,Mollendo,100,PE,1566705710,85,-17.03,-72.02,56.87,9.22
442,Kommunisticheskiy,100,RU,1566705712,90,61.68,64.48,51.18,2.17
443,Hualmay,100,PE,1566705713,91,-11.1,-77.61,58.22,11.3
444,San Rafael,0,AR,1566705714,45,-34.61,-68.33,56.82,4.63
445,Kabalo,44,CD,1566705716,40,-6.05,26.92,71.99,4.68
446,Meulaboh,100,ID,1566705717,86,4.14,96.13,76.96,12.5
447,Oktyabrskoye,20,RU,1566705718,72,56.73,85.44,68.0,8.95
448,Brownsville,1,US,1566705719,61,25.91,-97.49,86.0,5.82
449,Port Hueneme,20,US,1566705721,88,34.15,-119.2,80.01,5.82
450,Banda Aceh,100,ID,1566705700,82,5.56,95.32,78.65,13.11
451,Adrar,0,DZ,1566705449,19,27.87,-0.29,86.0,9.17
452,Ust-Karsk,0,RU,1566705724,43,52.71,118.82,74.71,4.65
453,Rabo de Peixe,75,PT,1566705726,94,37.8,-25.58,71.01,13.87
454,Brownwood,1,US,1566705727,78,31.71,-98.99,77.0,3.36
455,Melita,76,CA,1566705728,94,49.27,-100.98,71.01,8.01
456,Cortez,1,US,1566705608,32,37.35,-108.58,72.0,4.76
457,Ulaanbaatar,40,MN,1566705731,52,47.92,106.92,66.2,8.95
458,Alghero,0,IT,1566705732,100,40.56,8.32,68.0,3.36
459,Lobva,95,RU,1566705733,83,59.19,60.52,53.07,3.62
460,Talara,3,PE,1566705735,91,-4.58,-81.27,62.4,14.54
461,Muros,75,ES,1566705736,100,42.77,-9.06,64.99,6.93
462,Vydrino,0,RU,1566705737,78,51.46,104.64,53.27,3.2
463,Nesher,20,IL,1566705739,83,32.77,35.04,78.01,4.7
464,Bureya,98,RU,1566705740,80,49.81,129.81,66.05,4.61
465,Madimba,75,CM,1566705741,100,4.42,9.93,73.4,2.24
466,Naples,0,IT,1566705676,69,40.84,14.25,77.0,2.24
467,Atkinson,40,US,1566705744,72,41.42,-90.02,64.99,4.7
468,Flin Flon,20,CA,1566705745,95,54.77,-101.88,58.85,2.84
469,Santo Antonio do Ica,86,BR,1566705746,97,-3.1,-67.94,72.53,1.1
470,Buritis,0,BR,1566705720,40,-15.62,-46.42,66.86,1.45
471,Ambon,90,FR,1566705749,100,47.55,-2.56,63.0,3.36
472,Kahului,40,US,1566705750,58,20.89,-156.47,87.8,13.87
473,Marsa Matruh,0,EG,1566705752,74,31.35,27.25,80.33,5.26
474,Avila,1,US,1566705753,77,38.91,-76.61,69.01,4.27
475,Hami,22,CN,1566705754,24,42.84,93.51,80.63,14.79
476,Bonthe,100,SL,1566705755,90,7.53,-12.5,75.23,3.42
477,Caiaponia,6,BR,1566705757,34,-16.96,-51.81,71.43,6.22
478,Juneau,90,US,1566705751,93,58.3,-134.42,59.0,4.7
479,Terrace,75,CA,1566705759,87,54.52,-128.61,57.2,13.87
480,Puerto Baquerizo Moreno,100,EC,1566705761,92,-0.9,-89.6,68.05,8.77
481,Onguday,0,RU,1566705762,73,50.75,86.14,53.27,2.89
482,Rawson,67,AR,1566705763,53,-43.3,-65.11,54.44,18.05
483,Praia da Vitoria,20,PT,1566705765,82,38.73,-27.07,68.0,15.61
484,Sumenep,81,ID,1566705766,46,-7.02,113.87,87.38,3.13
485,Koshki,31,RU,1566705767,81,54.2,50.47,55.85,5.21
486,Soure,75,PT,1566705768,93,40.06,-8.63,62.6,2.24
487,Plakhtiyivka,0,UA,1566705770,60,46.1,29.72,71.97,10.22
488,Sijunjung,100,ID,1566705771,76,-0.69,100.95,75.47,2.57
489,Axim,100,GH,1566705772,88,4.87,-2.24,75.2,8.5
490,Bay Roberts,40,CA,1566705774,75,47.58,-53.28,48.99,8.05
491,Kirakira,100,SB,1566705775,85,-10.46,161.92,79.32,3.71
492,Nanchang,57,CN,1566705776,58,28.68,115.89,89.52,8.66
493,Erdenet,58,MN,1566705778,52,49.03,104.04,57.7,12.17
494,Mizdah,0,LY,1566705779,75,31.45,12.98,67.62,6.69
495,Yar-Sale,100,RU,1566705780,72,66.83,70.83,46.25,19.01
496,Antalaha,53,MG,1566705781,98,-14.9,50.28,61.3,3.27
497,Atambua,0,ID,1566705783,72,-9.11,124.89,75.39,9.78
498,Kadom,61,RU,1566705784,94,54.57,42.47,55.85,7.4
499,Esna,5,RO,1566705785,56,45.2,27.57,73.4,11.41
500,San Jose,20,HN,1566705787,78,14.25,-87.96,75.2,11.41
501,Boa Vista,0,BR,1566705788,69,2.82,-60.67,82.4,3.36
502,Khovu-Aksy,0,RU,1566705789,55,51.13,93.72,57.83,6.06
503,Bowen,90,AU,1566705791,53,-20.01,148.25,77.0,11.41
504,Ketchikan,75,US,1566705641,82,55.34,-131.65,60.8,8.05
505,Domna,75,RU,1566705793,93,51.9,113.16,59.0,6.71
506,Yinchuan,54,CN,1566705795,38,38.48,106.21,74.98,5.3
507,Weligama,100,LK,1566705796,77,5.97,80.42,81.55,15.03
508,Manono,0,CD,1566705797,45,-7.3,27.4,67.37,2.55
509,San Quintin,100,PH,1566705798,70,17.54,120.52,85.53,7.61
510,Uddevalla,70,SE,1566705800,93,58.35,11.94,55.99,3.53
511,Dukat,1,AL,1566705801,52,40.25,19.57,80.01,1.01
512,Portland,90,US,1566705550,82,43.66,-70.25,64.99,2.84
513,Pochutla,4,MX,1566705803,88,15.74,-96.47,80.01,2.13
514,Naze,100,NG,1566705698,96,5.43,7.07,71.69,0.94
515,Copiapo,99,CL,1566705640,81,-27.37,-70.33,53.6,2.93
516,Sirari,0,KE,1566705807,74,-1.25,34.48,64.72,4.79
517,Mandera,27,ET,1566705808,75,3.94,41.86,73.7,9.69
518,Lavumisa,0,ZA,1566705810,24,-27.31,31.88,51.72,6.2
519,Gwanda,0,ZW,1566705811,78,-20.94,29.0,52.48,4.5
520,Veracruz,12,EC,1566705813,87,-3.97,-79.57,60.18,1.81
521,The Valley,20,AI,1566705814,79,18.22,-63.06,84.2,12.75
522,Newcastle,0,AU,1566705815,33,-32.93,151.78,75.0,19.46
523,Tahe,0,CN,1566705817,49,52.34,124.71,73.4,4.29
524,Touros,40,BR,1566705818,94,-5.2,-35.46,73.4,4.7
525,Zhangjiakou,0,CN,1566705819,59,40.77,114.88,68.7,7.05
526,Payo,25,ID,1566705821,46,-3.75,103.64,82.47,3.98
527,Aguililla,99,MX,1566705822,91,18.74,-102.79,69.8,4.5
528,Fortaleza,75,BR,1566705552,74,-3.73,-38.52,80.6,17.22
529,Houma,98,CN,1566705824,78,35.63,111.36,73.0,9.33
530,Thai Binh,0,VN,1566705748,75,20.45,106.33,89.6,4.7
531,Katsina,100,NG,1566705827,86,12.99,7.6,72.33,13.94
532,Valley City,1,US,1566705828,93,46.92,-98.0,69.8,12.75
533,Nouadhibou,46,MR,1566705829,94,20.93,-17.03,71.6,9.17
534,Kodinsk,100,RU,1566705831,97,58.6,99.18,53.92,5.3
535,Mao,40,DO,1566705832,83,19.55,-71.08,82.4,11.41
536,Coos Bay,1,US,1566705645,93,43.37,-124.22,64.99,9.17
537,Finschhafen,94,PG,1566705835,74,-6.6,147.85,72.93,5.06
538,Esmeraldas,0,BR,1566705801,67,-19.76,-44.31,64.4,12.75
539,Cabedelo,40,BR,1566705837,100,-6.97,-34.84,73.4,6.93
540,Fort Nelson,75,CA,1566705744,82,58.81,-122.69,57.2,10.29
541,Kostyantynivka,0,UA,1566705839,85,48.53,37.71,64.16,8.19
542,Menongue,99,AO,1566705841,32,-14.66,17.68,48.3,5.17
543,Liverpool,0,GB,1566705842,82,53.41,-2.98,66.99,5.82
544,Shenjiamen,100,CN,1566705843,83,29.96,122.3,83.71,17.96
545,Port Lincoln,90,AU,1566705845,74,-34.72,135.86,52.37,12.15
546,Olinda,40,AU,1566705846,50,-37.84,145.39,57.0,13.87
547,Channel-Port aux Basques,0,CA,1566705847,58,47.57,-59.14,58.94,20.96
548,Iralaya,0,HN,1566705848,94,15.0,-83.23,75.65,1.41
549,Mvuma,0,ZW,1566705850,79,-19.28,30.53,50.16,6.85
550,Kendari,75,ID,1566705851,45,-3.99,122.52,89.16,2.01
551,Ust-Kuyga,36,RU,1566705852,54,70.0,135.55,60.54,10.65
552,Kampot,40,KH,1566705854,74,10.62,104.18,84.2,16.11
553,Homer,1,US,1566705637,67,59.64,-151.54,64.99,16.11
554,Shache,99,CN,1566705856,25,38.42,77.24,80.56,3.38
555,Ayorou,56,NE,1566705857,71,14.73,0.92,79.88,15.26
556,Pechora,100,RU,1566705859,76,65.12,57.16,46.68,6.93
557,Sakaiminato,75,JP,1566705860,58,35.55,133.23,82.4,8.05
558,Petropavlovsk-Kamchatskiy,90,RU,1566705861,87,53.05,158.65,51.8,8.95
559,Binghamton,90,US,1566705863,82,42.1,-75.91,61.0,4.7
560,Los Llanos de Aridane,0,ES,1566705864,83,28.66,-17.92,73.4,14.99
561,Samarai,99,PG,1566705865,87,-10.62,150.67,74.06,7.4
562,Port Blair,90,IN,1566705866,94,11.67,92.75,77.0,11.41
563,Monrovia,100,LR,1566705868,92,6.33,-10.8,74.08,3.38
564,Jutai,48,BR,1566705869,97,-1.71,-47.89,72.23,3.06
565,Kem,10,UG,1566705870,89,2.68,33.77,64.04,2.1
566,Kokstad,0,ZA,1566705872,23,-30.55,29.42,48.5,6.62
567,Bukama,0,CD,1566705873,42,-9.2,25.85,63.03,2.35
